parent_taxon_id,taxon_id,rank_level,leaf_class_id,iconic_class_id,spatial_class_id,spatial_threshold,name
122486,928024,25,,,1298,,Udeini
928024,126764,20,,,1347,,Udea
126764,143615,10,410,0,410,0.00084863656,Udea rubigalis
47157,53552,33,,,631,,Yponomeutoidea
53552,124078,30,,,906,,Attevidae
124078,53554,20,,,1792,,Atteva
53554,116681,10,395,0,395,0.011472116,Atteva aurea
47157,56583,33,,,897,,Lasiocampoidea
56583,56584,30,,,1582,,Lasiocampidae
56584,1523519,27,,,1506,,Malacosominae
1523519,61786,20,,,1429,,Malacosoma
61786,81663,10,327,0,327,0.0066129235,Malacosoma disstria
61786,211100,10,458,0,458,0.008119339,Malacosoma americana
184884,47201,40,,,929,,Hymenoptera
47201,124417,37,,,1452,,Apocrita
124417,326777,35,,,1617,,Aculeata
326777,47222,33,,,1003,,Apoidea
47222,48742,30,,,1953,,Sphecidae
48742,470913,27,,,1595,,Sceliphrinae
470913,471021,25,,,1512,,Sceliphrini
471021,121822,20,,,1830,,Sceliphron
121822,121821,10,236,0,236,0.0045350855,Sceliphron caementarium
47222,630955,32,,,1269,,Anthophila
630955,47221,30,,,1757,,Apidae
47221,199939,27,,,816,,Apinae
199939,538883,25,,,595,,Bombini
538883,52775,20,,,820,,Bombus
52775,538890,15,,,686,,Cullumanobombus
538890,120215,10,117,0,117,0.029714849,Bombus griseocollis
52775,538900,15,,,1945,,Pyrobombus
538900,52779,10,472,0,472,0.03168114,Bombus bimaculatus
538900,57689,10,307,0,307,0.023362424,Bombus vosnesenskii
538900,118970,10,164,0,164,0.025804032,Bombus impatiens
52775,538902,15,,,855,,Thoracobombus
538902,55637,10,480,0,480,0.02286634,Bombus pascuorum
538902,56887,10,24,0,24,0.030946497,Bombus pensylvanicus
52775,538903,15,,,1845,,Bombus
538903,57516,10,218,0,218,0.0053378125,Bombus terrestris
199939,538904,25,,,1421,,Apini
538904,47220,20,,,1078,,Apis
47220,578086,15,,,1016,,Apis
578086,47219,10,495,0,495,0.000011401243,Apis mellifera
47221,244505,27,,,568,,Xylocopinae
244505,574159,25,,,1095,,Xylocopini
574159,51111,20,,,1330,,Xylocopa
51111,571260,15,,,1801,,Xylocopoides
571260,51110,10,320,0,320,0.042363737,Xylocopa virginica
630955,49707,30,,,1367,,Halictidae
49707,134106,27,,,1455,,Halictinae
134106,335597,25,,,1321,,Halictini
335597,57677,20,,,1223,,Halictus
57677,606646,15,,,804,,Odontalictus
606646,154298,10,377,0,377,0.0053680195,Halictus ligatus
326777,48740,33,,,1304,,Vespoidea
48740,52747,30,,,1755,,Vespidae
52747,84738,27,,,1563,,Vespinae
84738,52912,20,,,1259,,Dolichovespula
52912,52911,10,502,0,502,0.027676987,Dolichovespula maculata
84738,54328,20,,,535,,Vespa
54328,54327,10,28,0,28,0.02351953,Vespa crabro
84738,61356,20,,,1418,,Vespula
61356,119994,10,259,0,259,0.00499325,Vespula maculifrons
61356,126155,10,402,0,402,0.0098455185,Vespula germanica
52747,343248,27,,,895,,Polistinae
343248,638567,25,,,1479,,Polistini
638567,52756,20,,,1710,,Polistes
52756,789375,15,,,769,,Polistes
789375,84640,10,324,0,324,0.011784689,Polistes dominula
52756,789379,15,,,1779,,Fuscopolistes
